تحقيق محمد باقر الأنصاري	ق 1
جمال الدين أبو الحجاج يوسف بن عبد الرحمن المزي (المتوفى: 742هـ)	0742
أبو الفرج المعافى بن زكريا بن يحيى الجريرى النهرواني (المتوفى: 390هـ)	0390
شمس الدين محمد بن أحمد بن عبد الهادي بن يوسف الدمشقي الحنبلي (المتوفى: 744هـ)	0744
أبو يوسف يعقوب بن سفيان الفسوي (المتوفى : 347هـ)	0277
أبو بكر أحمد بن محمد بن الحجاج المروزي	0275
عبد الكريم بن هوازن بن عبد الملك القشيري (المتوفى: 465هـ)	0465
محمد بن موسى بن عيسى بن علي الدميري، أبو البقاء، كمال الدين الشافعي (المتوفى: 808هـ)	0808
الحاج ميرزا أبي الفضل الطهراني	1450
علي بن يوسف بن أحمد البصروي	0905
سليمان بن الأشعث	0275
أبو العرب محمد بن أحمد بن تميم بن تمام التميمي	0333
أبو محمد عبد العزيز بن محمد بن عبد الرحمن بن عبد المحسن السلمان (المتوفى: 1422هـ)	1422
أبو عبد الله بدر الدين محمد بن عبد الله بن بهادر الزركشي (المتوفى: 794هـ)	0794
أبو الفضل زين الدين عبد الرحيم بن الحسين بن عبد الرحمن بن أبي بكر بن إبراهيم العراقي (المتوفى: 806هـ)	0806
الشيخ الدكتور مازن بن محمد بن عيسى	CONTEMPORARY
أبو بشر محمد بن أحمد بن حماد الدولابي	0310
أحمد بن الحسين بن علي بن موسى الخسروجردي الخراساني، أبو بكر البيهقي (المتوفى: 458هـ)	0458
أبو بكر أحمد بن محمد بن هارون بن يزيد الخلال البغدادي (المتوفى : 311هـ)	0311
أبو المعالي محمود شكري بن عبد الله بن محمد بن أبي الثناء الألوسي (المتوفى : 1342هـ)	1342
البكري الأندلسي	0487
نصر بن مزاحم بن سيار المنقري (المتوفى : 212هـ)	0212
محمد بن عبد المنعم ابن عمار بن هامل الحراني الحنبلي (المتوفى: 671هـ)	0671
محمد الأمين بن محمد بن المختار الجكني الشنقيطي.	1393
صلاح الدين خليل بن أيبك الصفدي (المتوفى: 764هـ)	0764
أحمد بن شعيب أبو عبد الرحمن النسائي	0303
القاضى عبد الجبار بن أحمد بن عبد الجبار الهمذاني الأسد أبادي، أبو الحسين المعتزلي (المتوفى: 415هـ)	0415
NOTGIVEN	1388
المظفر بن الفضل العلوي (المتوفى : 656هـ)	0656
منيع بن عبد الحليم محمود (المتوفى: 1430هـ)	1430
حمود بن عبد الله بن حمود بن عبد الرحمن التويجري (المتوفى: 1413هـ)	1413
الشيخ احمد الطهطاوي	1450
سفر بن عبد الرحمن الحوالي	NOTGIVEN
الشريف الجرجاني	0816
أحمد سلامة القليوبي وأحمد البرلسي عميرة	NOTGIVEN
أحمد بن محمد بن علي الفيومي ثم الحموي، أبو العباس (المتوفى: نحو 770هـ)	NOTGIVEN
أ. د. محمد عبد المنعم القيعي رحمه الله	CONTEMPORARY
صالح بن محمد بن نوح العمري	1218
أحمد بن محمد الأدنه وي	9999
أبو محمد جعفر بن أحمد بن الحسيني السراج القارئ	0500
عبيد الله بن علي بن محمد بن محمد بن الحسين ابن الفراء، أبو القاسم بن أبي الفرج بن أبي خازم ابن القاضي أبي يعلى البغدادي، الحنبلي (المتوفى: 580هـ)	0580
يحيى بن علي القرشي	0662
محمد بن علي بن محمد الشوكاني (المتوفى: 1250هـ)	1250
أبو حيان التوحيدي، علي بن محمد بن العباس (المتوفى: نحو 400هـ)	NOTGIVEN
محمد بن أحمد بن عرفة الدسوقي المالكي (المتوفى: 1230هـ)	1230
الشيخ علي آل محسن	1450
عبد الرحمن بن أبي بكر، جلال الدين السيوطي (المتوفى: 911هـ)	0911
ابن الخشاب البغدادي	0567
محمد بن عبد الرزاق بن محمد، كرد علي (المتوفى: 1372هـ)	1372
جمال الدين أبو محمد علي بن أبي يحيى زكريا بن مسعود الأنصاري الخزرجي المنبجي (المتوفى: 686هـ)	0686
أبو العباس أحمد بن علي القلقشندي (المتوفى : 821هـ)	0821
أبو محمد محمود بن أحمد بن موسى بن أحمد بن حسين الغيتابى الحنفى بدر الدين العينى (المتوفى: 855هـ)	0855
ناصر بن علي عايض حسن الشيخ	NOTGIVEN
سليمان بن أحمد بن أيوب بن مطير اللخمي الشامي، أبو القاسم الطبراني (المتوفى: 360هـ)	0360
أبو القاسم (أو أبو البقاء) علي بن عثمان بن محمد بن أحمد بن الحسن المعروف بابن القاصح العذري البغدادي ثم المصري الشافعي المقرئ (المتوفى: 801هـ)	0801
عبد الكريم بن عبد الله بن عبد الرحمن بن حمد الخضير	NOTGIVEN
الفيروز آبادي	0817
رفاعة رافع بن بدوي بن علي الطهطاوي (المتوفى: 1290هـ)	1290
أبو عبد الله بن عمر الواقدي	0207
أبو عبد الله محمد بن أحمد الأنصاري القرطبي	0671
محمد سيد طنطاوي	NOTGIVEN
شمس الدين محمد بن أحمد بن عبد الهادي الحنبلي (المتوفى: 744هـ)	0744
عبد الرحمن بن عبد الله بن أحمد بن درهم (المتوفى: 1362هـ)	1362
ابن بطال أبو الحسن علي بن خلف بن عبد الملك (المتوفى: 449هـ)	0449
السيد بهاء الدين النجفي	0803
أبو منصور عبد الملك بن محمد بن إسماعيل الثعالبي	0429
القاضي أبي الفضل عياض بن موسى بن عياض اليحصبي السبتي المالكي	0544
شهاب الدين محمود بن عبد الله الحسيني الألوسي (المتوفى: 1270هـ)	1270
أبو الحسين محمد بن عبد الله بن الحسين بن عبد الله بن هارون البغدادي الدقاق المعروف بابن أخي ميمي (المتوفى: 390هـ)	0390
أبو محمد أحمد بن محمد ، المعروف بابن عربشاه (المتوفى : 854هـ)	0854
الإمام الحافظ أبو بشر محمد بن أحمد بن حماد الدولابي	0310
ابن السكيت الاهوازي	0244
الزبير بن بكار بن عبد الله بن مصعب الزبيري أبو عبد الله	0256
شرف الدين بن أبي البركان المبارك بن أحمد الأربلي	0937
إبراهيم بن سعيد النعماني - بالولاء - المصري، أبو إسحاق الحبال (المتوفى: 482هـ)	0482
أبو طالب التجليل التبريزي	1450
محمد بن أحمد بن محمد بن إسماعيل اللخمي الأنباري / أبو عبد الله محمد بن عبد الواحد بن محمد الدقاق	0476
محمد بن جرير بن يزيد بن كثير بن غالب الآملي، أبو جعفر الطبري (المتوفى: 310هـ)	0310
القرطبي	0671
ابن دقيق العيد	NOTGIVEN
علي بن (سلطان) محمد، أبو الحسن نور الدين الملا الهروي القاري (المتوفى: 1014هـ)	1014
ابن هشام الحميري	0218
الشيخ الطبرسي	0548
أبو عبد الله محمد بن إسحاق بن العباس المكي الفاكهي (المتوفى: 272هـ)	0272
العلامة محمد بن علي الشوكاني	1250
الحافظ أبو الفضل جلال الدين عبد الرحمن ابن أبي بكر السيوطي	0911
محمد بن جعفر بن محمد بن الهيثم، أبو بكر الأنباري، البندار (المتوفى: 360هـ)	0360
أبو حنيفة أحمد بن داود الدينوري	0282
أبو الفرج الأصبهاني	0356
د. سعيد بن علي بن وهف القحطاني	CONTEMPORARY
منتجب الدين بن بابويه	ن 585
شهاب الدين أحمد بن يحيى بن فضل الله العمري (المتوفى : 749هـ)	0749
أحمد بن محمد بن محمد البجائي الأبذي، شهاب الدين الأندلسي (المتوفى: 860هـ)	0860
الحافظ شهاب الدين أبي الفضل أحمد بن علي بن محمد العسقلاني	0852
السيد البراقي	1332
أبو ياسر محمد بن مطر بن عثمان آل مطر الزهراني (المتوفى: 1427هـ)	1427
محمد (باشا) ابن الأمير عبد القادر ابن محيي الدين الحسني الجزائري (المتوفى: 1331هـ)	1331
الحسن بن سفيان النسوي	0303
السيد هاشم البحراني	1107
محمد هادي اليوسفي	1450
الشيخ غالب السيلاوي	1450
ابن الجزري / السخاوي	0902
عبد الكريم بن محمد بن منصور التميمي السمعاني المروزي، أبو سعد (المتوفى: 562هـ)	0562
محمد بن بشير بن عمر الإبراهيمي (المتوفى: 1385هـ)	1385
محمد بن مفلح المقدسي أبو عبد الله	0762
إسماعيل بن محمد العجلوني الجراحي	1162
عبيد الله بن عبد الرحمن بن محمد بن عبيد الله بن سعد بن إبراهيم بن عبد الرحمن بن عوف العوفي، الزهري، القرشي، أبو الفضل البغدادي (المتوفى: 381هـ)	0381
إسماعيل بن القاسم بن إسماعيل الإمام أبو القاسم الحلبي الخياط المؤدب (المتوفى: بعد 370هـ)	NOTGIVEN
الحسن بن عبد الرحمن الرامهرمزي	0360
الشيخ عزيز الله عطاردي	1450
أبو الطيب نايف بن صلاح بن علي المنصوري	NOTGIVEN
علي بن ظافر الأزدي المصري (المتوفى : 613هـ)	0613
الحسين بن حمدان الخصيبي	0334
إبراهيم بن عمر بن حسن الرباط بن علي بن أبي بكر البقاعي (المتوفى: 885هـ)	0885
محمد بن شاكر بن أحمد بن عبد الرحمن بن شاكر بن هارون بن شاكر الملقب بصلاح الدين (المتوفى: 764هـ)	0764
قطب الدين البيهقي الكيدري	ق 6
أبو التراب سيد بن حسين بن عبد الله العفاني	NOTGIVEN
حسين عطوان	NOTGIVEN
الباقلاني	0403
الثعلبي	0427
أبو بكر محمد بن خير بن عمر بن خليفة الأموي	0575
محمد بن عبد الله (أبي بكر) بن محمد ابن أحمد بن مجاهد القيسي الدمشقي الشافعي، شمس الدين، الشهير بابن ناصر الدين (المتوفى: 842هـ)	0842
محمد عرفه الدسوقي	1230
الأصبهاني	1339
محمد بن عبدالله أبو عبدالله الحاكم النيسابوري	0405
محمد عاشق الرحمن القادري الحبيبي	1450
أبو نعيم أحمد بن عبد الله بن أحمد بن إسحاق بن موسى بن مهران الأصبهاني (المتوفى : 430هـ)	0430
أحمد بن إسحاق (أبي يعقوب) بن جعفر بن وهب بن واضح اليعقوبي (المتوفى: بعد 292هـ)	NOTGIVEN
إبراهيم بن إبراهيم قريبي	NOTGIVEN
إبراهيم بن محمد بن زكريا الزهري، من بني سعد بن أبي وقاص، أبو القاسم ابن الإفليلي (المتوفى: 441هـ)	0441
أبو الفداء زين الدين قاسم بن قطلوبغا السودوني	0879
خلف بن عبد الملك بن بشكوال أبو القاسم	0578
الامام أبو الفداء الحافظ ابن كثير الدمشقي	0774
الشيخ عبد الرحيم بن أحمد العباسي	0963
كمال الدين محمد بن عبد الواحد السيواسي المعروف بابن الهمام (المتوفى: 861هـ)	0861
أبو سليمان حمد بن محمد بن إبراهيم بن الخطاب البستي المعروف بالخطابي (المتوفى: 388هـ)	0388
علي بن يوسف بن علي بن أحمد، علاء الدين الدمشقي العاتكي الشافعي الشهير بالبصروي (المتوفى: 905هـ)	0905
أبو النجا موسى بن أحمد، شرف الدين الحجاوي (المتوفى: 968هـ)	0968
يوسف البديعي الدمشقي (المتوفى: 1073هـ)	1073
طاهر الجزائري الدمشقي	1338
يوسف بن عبد الرحمن بن يوسف، أبو الحجاج، جمال الدين ابن الزكي أبي محمد القضاعي الكلبي المزي (المتوفى: 742هـ)	0742
العاملي	1450
أبي عبد الله الصوري	0751
الدكتور أحمد عيسى (المتوفى: 1365هـ)	1365
أبو بكر محمد بن إبراهيم بن المنذر النيسابوري (المتوفى: 319هـ)	0319
محمد بن محمد الغزالي أبو حامد	0505
محمد بن عمر بن محمد بن عمر رشيد الفهري أبو عبد الله	0721
أبو الحسيني المبارك بن عبد الجبار الطيوري بن عبد الله الصيرفي الحنبلي	0500
أحمد بن حسين بن علي بن الخطيب، أبو العباس القسنطيني، ابن قنفذ (المتوفى: 810هـ)	0810
أبو عبيد القاسم بن سلام	0224
السمعاني	0489
الدسوقي	1230
أبو القاسم الحسين بن محمد بن إبراهيم بن الحسين الدمشقي، الحنائي (المتوفى: 459هـ)	0459
أكرم بن ضياء العمري	NOTGIVEN
يوسف بن موسى بن محمد، أبو المحاسن جمال الدين الملطي الحنفي (المتوفى: 803هـ)	0803
احمد بن محمدبن عبد ربه الأندلسي	0328
صلاح محمد الخيمى	NOTGIVEN
الحسن بن محمد بن الغسال الطنجي (المتوفى: 1358هـ)	1358
NOTGIVEN	1363
علي الصعيدي العدوي المالكي	1189
البرجلاني	0238
جابر بن موسى بن عبد القادر بن جابر أبو بكر الجزائري	NOTGIVEN
الدينوري	0282
ابن حجة الحموي، تقي الدين أبو بكر بن علي (المتوفى: 837هـ)	0837
محمد بن طاهر المقدسي أبو الفضل	0507
الأحمدي الميانجي	1450
شمس الدين، محمد بن أحمد الخطيب الشربيني الشافعي (المتوفى: 977هـ)	0977
أبو على الحسن بن رشيق القيرواني الأزدي (المتوفى : 463هـ)	0463
أبو جعفر محمد بن عثمان بن أبي شيبة العبسي (المتوفى: 297هـ)	0297
شرف الدين، علي بن المفضل بن علي بن مفرج بن حاتم بن حسن بن جعفر المقدسي (المتوفى: 611هـ)	0611
أبو محمد أحمد بن محمد، المعروف بابن عربشاه (المتوفى: 854هـ)	0854
علي أكبر غفاري	1450
خالد بن سليمان المزيني	NOTGIVEN
أحمد بن محمد بن إبراهيم الخطابي البستي أبو سليمان	0388
محمد عبد الله عنان المؤرخ المصري (المتوفى: 1406هـ)	1406
مجموعة من المؤلفين	NOTGIVEN
ابن حبان	0354
عبدالرحمن بن أبي بكر أبو الفضل السيوطي	0911
أبو أحمد عبد الله بن عدي بن عبد الله بن محمد ابن مبارك بن القطان الجرجاني (المتوفى: 365هـ)	0365
السيد البروجردي	1383
السرابي التنكابني	1124
السيد محمد سعيد الحكيم	1450
الشريف الادريسي	0560
الإمام ابن كثير (المتوفى: 774هـ)	0774
أحمد بن محمد بن أحمد بن غالب، أبو بكر المعروف بالبرقاني (المتوفى: 425هـ)	0425
أ. د. حكمت بن بشير بن ياسين	CONTEMPORARY
أبي منصور عبد الملك بن محمد بن إسماعيل الثعالبي	0429
المطهر بن طاهر المقدسي (المتوفى: نحو 355هـ)	NOTGIVEN
أبو الخير محمد بن عبد الرحمن بن محمد السخاوي	0902
ابن سمعون الواعظ، أبو الحسين محمد بن أحمد بن إسماعيل بن عنبس البغدادي (المتوفى: 387هـ)	0387
NOTGIVEN	NOTGIVEN
أبو المظفر، منصور بن محمد بن عبد الجبار ابن أحمد المروزى السمعاني التميمي الحنفي ثم الشافعي (المتوفى: 489هـ)	0489
شريف مراد أبو عمرو	NOTGIVEN
أبو عوانة يعقوب بن إسحاق بن إبراهيم النيسابوري الإسفراييني (المتوفى: 316هـ)	0316
جمال الدين أبو الفتح يوسف بن يعقوب ابن محمد المعروف بابن المجاور الشيباني الدمشقي (المتوفى : 690هـ)	0690
عطية قابل نصر	NOTGIVEN
محمد بن إبراهيم بن جماعة	0733
التبريزي	1330
عمر الدسوقي	NOTGIVEN
يحيى بن معين	0233
أحمد بن محمد بن إبراهيم، شهاب الدين أبو الحجاج الأشعري الشافعي (المتوفى: 600هـ)	0600
عثمان بن سعيد بن عثمان بن عمر أبو عمرو الداني (المتوفى: 444هـ)	0444
عبد الرحمن بن محمد بن عبد الرحمن العليمي الحنبلي، أبو اليمن، مجير الدين (المتوفى: 928هـ)	0928
أحمد بن عبد الرحيم بن الحسين الكردي الرازياني ثم المصري، أبو زرعة ولي الدين، ابن العراقي (المتوفى: 826هـ)	0826
أبو العباس أحمد بن محمد بن علي ابن حجر الهيثمي	0973
علي بن أحمد بن حزم الأندلسي أبو محمد	0456
الإمام أبي عمر يوسف بن عبد البر النمري القرطبي	0463
قدامة بن جعفر	0337
عبد الرحمن بن حسن بن محمد بن عبد الوهاب بن سليمان التميمي	NOTGIVEN
أبو القاسم سليمان بن أحمد الطبراني	0360
محمد بن أحمد الدولابي	0310
سليمان بن عبد الله بن محمد بن عبد الوهاب	1233
أبو أحمد محمد بن أحمد بن حسين بن القاسم بن السري بن الغطريف بن الجهم العبدي الغطريفي الجرجاني (المتوفى: 377هـ)	0377
محمد بن محمد البابرتي (المتوفى : 786هـ)	0786
أبو عبد الله محمد بن عبد الواحد بن أحمد الحنبلي المقدسي	0643
مسافر بن محمد بن حاجي الدمشقي (المتوفى: 420هـ)	0420
ابن أبي الدنيا	0281
حمد بن أحمد أبو عبدالله الذهبي الدمشقي	0748
أبو الحسن الهلال بن المحسن الصابي (المتوفى: 448هـ)	0448
الشيخ نجاح الطائي	1450
محمد بن إدريس الشافعي أبو عبد الله	0204
الحاج حسين الشاكري	1450
محمد ناصر الدين الألباني (المتوفى: 1420هـ)	1420
النسفي	0710
دار الإفتاء المصرية	NOTGIVEN
أبو عبد الله، عبد الرحمن بن ناصر بن عبد الله بن ناصر بن حمد آل سعدي (المتوفى: 1376هـ)	1376
الطبري	0310
إبراهيم بن السري بن سهل، أبو إسحاق الزجاج (المتوفى: 311هـ)	0311
احمد بن علي بن محمد المشهور بابن حجر العسقلاني	0852
NOTGIVEN	0441
محمد بن جعفر الكتاني أبو عبد الله	1345
أبو نصر الفتح بن محمد بن عبيد الله بن خاقان القيسي الإسبيلي	0529
محمد بن أبي بكر بن ناصر الدين الدمشقي	0842
الشافعي السلمي(م)	0685
أبي طاهر أحمد بن محمد السلفي الأصبهاني	0576
عبد الله بن وهب بن مسلم القرشي	0197
زين الدين عمر بن مظفر الشهير بابن الوردي	0749
شهاب الدين أحمد بن محمد بن عمر الخفاجي المصري الحنفي (المتوفى: 1069هـ)	1069
السيد شرف الدين	1377
أبو علي أحمد بن علي بن شعيب المدائني (المتوفى: بعد 310هـ)	NOTGIVEN
محمد بن عبد الله، ابن مالك الطائي الجياني، أبو عبد الله، جمال الدين (المتوفى: 672هـ)	0672
تاج الدين أبي النصر عبد الوهاب بن علي بن عبد الكافي السبكي	0646
أحمد بن محمد بن إبراهيم الثعلبي، أبو إسحاق (المتوفى: 427هـ)	0427
المبارك بن أحمد بن المبارك بن موهوب اللخمي الإربلي، المعروف بابن المستوفي (المتوفى: 637هـ)	0637
محب الدين ، محمد بن أبي بكر الحموي (المتوفى : 1016هـ)	1016
محمد بن عمر بحرق الحضرمي الشافعي	0930
أبو بكر أحمد بن هارون بن روح البرديجي (المتوفى: 301هـ)	0301
أبو عبد الله محمد بن محمد بن عبد الملك الأنصاري الأوسي المراكشي (المتوفى : 703هـ)	0703
علاء الدين أبو الحسن علي بن سليمان المرداوي الدمشقي الصالحي الحنبلي (المتوفى: 885هـ)	0885
المباركفوري	1282
أبو العباس أحمد بن محمد بن أحمد البسيلي التونسي (المتوفى: 380هـ)	0380
أحمد بن علي بن حجر أبو الفضل العسقلاني	0852
عبد الكريم يونس الخطيب (المتوفى: بعد 1390هـ)	NOTGIVEN
الإمام أبي عوانة يعقوب بن إسحاق الاسفرائني	0316
أبو العباس أحمد بن يوسف التيفاشي (المتوفى : 651هـ)	0651
أبو بكر أحمد بن جعفر بن حمدان بن مالك بن شبيب البغدادي المعروف بالقطيعي (المتوفى: 368هـ)	0368
ابن شهر آشوب	0588
أحمد بن يحيى بن فضل الله القرشي العدوي العمري، شهاب الدين (المتوفى: 749هـ)	0749
مؤلف مجهول	ق 3
رضي الدين، أبو الحسن المؤيد بن محمد بن علي بن حسن بن محمد بن أبي صالح الطوسي، ثم النيسابوري (المتوفى: 617هـ)	0617
نشوان بن سعيد الحميرى اليمني (المتوفى: 573هـ)	0573
محمد بن عمر المظفر بن شاهنشاه، الأيوبي، أبو المعالي، ناصر الدين، المنصور ابن المظفر (المتوفى: 617هـ)	0617
كمال الدين، محمد بن موسى بن عيسى بن علي الدميري أبو البقاء الشافعي (المتوفى: 808هـ)	0808
يعقوب بن سفيان بن جوان الفارسي الفسوي، أبو يوسف (المتوفى: 277هـ)	0277
الامام القاضي أبي محمد عبد الحق بن عطية المحاربي الاندلسي	0541
نجم الدين محمد بن محمد الغزي (المتوفى : 1061هـ)	1061
جمال الدين أبو الفتح يوسف بن يعقوب ابن محمد المعروف بابن المجاور الشيباني الدمشقي (المتوفى: 690هـ)	0690
زينب بنت علي بن حسين بن عبيد الله بن حسن بن إبراهيم بن محمد بن يوسف فواز العاملي (المتوفى: 1332هـ)	1332
أبو الحسن مقاتل بن سليمان بن بشير الأزدي البلخى (المتوفى: 150هـ)	0150
أحمد بن موسى بن العباس التميمي، أبو بكر بن مجاهد البغدادي (المتوفى: 324هـ)	0324
إبراهيم بن علي بن أحمد بن عبد الواحد ابن عبد المنعم الطرسوسي، نجم الدين (المتوفى : 758هـ)	0758
حسن بن محمد المشاط المالكي (المتوفى: 1399هـ)	1399
للإمام أبي عبيد الله محمد بن عمران المرزباني (المتوفى: 384 هـ)	NOTGIVEN
العجلي	0261
حمزة محمد قاسم	NOTGIVEN
محمد بن عبد الباقي بن محمد الأنصاري الكعبي، أبو بكر، المعروف بقاضي المارستان (المتوفى: 535هـ)	0535
أبو محمد عبد الرحمن بن محمد بن إدريس بن المنذر التميمي، الحنظلي، الرازي ابن أبي حاتم (المتوفى: 327هـ)	0327
أبو البقاء العكبري	0616
سيف بن عمر الضبي	0200
سليمان بن موسى بن سالم بن حسان الكلاعي الحميري، أبو الربيع (المتوفى: 634هـ)	0634
قطب الدين أبو الفتح موسى بن محمد اليونيني (المتوفى: 726 هـ)	NOTGIVEN
إبراهيم بن محمد بن محمود بن بدر، برهان الدين، أبو إسحاق الحلبي القبيباتي الشافعي الناجي (المتوفى: 900هـ)	0900
إسحاق بن الحسين المنجم (المتوفى: ق 4هـ)	NOTGIVEN
إبراهيم بن محمد بن عبد الله بن محمد ابن مفلح، أبو إسحاق، برهان الدين (المتوفى: 884هـ)	0884
أبو بكر أحمد بن مروان الدينوري المالكي (المتوفى: 333هـ)	0333
عبد الرزاق بن محمد بن أبي نصر أحمد بن محمد بن عيسى بن عمار أبو المحاسن الطبسي (المتوفى: 537هـ)	0537
عبد الرحمن بن أحمد بن يونس الصدفي، أبو سعيد (المتوفى: 347هـ)	0347
محمد بيومى مهران	NOTGIVEN
محمد بن عبد الكريم بن أبي بكر أحمد الشهرستاني	0548
أبو القاسم يوسف بن محمد بن أحمد بن محمد بن أحمد المهرواني، الهمذاني (المتوفى: 468هـ)	0468
عبد الأول بن حماد الأنصاري	NOTGIVEN
سليمان بن محمد بن عمر البجيرمي المصري الشافعي (المتوفى: 1221هـ)	1221
أبو الحسن علي بن محمد بن حبيب الماوردي البصري	0450
أحمد بن عبد الله بن سليمان بن محمد بن سليمان، أبو العلاء المعري، التنوخي (المتوفى: 449هـ)	0449
إبراهيم بن علي بن يوسف الشيرازي أبو إسحاق	0476
عبد الرزاق بن حسن بن إبراهيم البيطار الميداني الدمشقي (المتوفى: 1335هـ)	1335
عبد القادر بن بدران الدمشقي	1346
محمد بن علي بن محمد الشوكاني	1250
محمد علي الصابوني	NOTGIVEN
أبو سعد أحمد بن محمد بن أحمد بن عبد الله بن حفص بن خليل الأنصاري الهروي الماليني (المتوفى: 412هـ)	0412
أبي الحسن أحمد بن عبد الله بن صالح العجلي الكوفي نزيل طرابلس الغرب	0261
الشيخ فاضل المالكي	1450
محمد بن أحمد بن عبد الهادي بن قدامة المقدسي أبو عبد الله	0744
الشيخ كاشف الغطاء	1373
على جمعة محمد عبد الوهاب	NOTGIVEN
أبو البقاء عبد الله بن الحسين بن عبد الله العكبري البغدادي محب الدين (المتوفى: 616هـ)	0616
محمد بن أحمد بن مصطفى بن أحمد المعروف بأبي زهرة (المتوفى: 1394هـ)	1394
ابن الدمياطي	0749
الدكتور محمد عجاج خطيب	CONTEMPORARY
أبو عبد الله محمد بن أبي الفيض جعفر بن إدريس الحسني الإدريسي الشهير بـ الكتاني (المتوفى: 1345هـ)	1345
عبد الرحمن بن إسماعيل بن إبراهيم	0665
شمس الدين محمد بن علي بن أحمد بن طولون الصالحي	0953
حمزة بن أسد بن علي بن محمد، أبو يعلى التميمي، المعروف بابن القلانسي (المتوفى: 555هـ)	0555
محمد بن عيسى بن محمود بن كنان (المتوفى: 1153هـ)	1153
الدكتور محمد السيد حسين الذهبي (المتوفى: 1398هـ)	1398
إسحاق بن منصور بن بهرام، أبو يعقوب المروزي، المعروف بالكوسج (المتوفى: 251هـ)	0251
أبو العلا محمد عبد الرحمن بن عبد الرحيم المباركفورى (المتوفى: 1353هـ)	1353
السيد تحسين آل شبيب	1450
الشيخ محمد بخيت الحنفي	1350
عبد القادر بن أبي الوفاء محمد بن أبي الوفاء القرشي أبو محمد	0775
أحمد بن يوسف بن يعقوب بن علي الفهري	0691
حمد بن عبد الله بن عبد العزيز الحمد	NOTGIVEN
أبو علي عبد الجبار بن عبد الله بن محمد بن عبد الرحيم بن داود الخولاني الداراني المعروف بابن مهنا (المتوفى: 370هـ)	0370
المولى حيدر الشيرواني	ق 12
علاء الدين علي بن محمد بن إبراهيم بن عمر الشيحي أبو الحسن، المعروف بالخازن (المتوفى: 741هـ)	0741
يوسف بن يحيى بن علي بن عبد العزيز المقدسي السلمي الشافعي (المتوفى: بعد 658هـ)	NOTGIVEN
أبو العباس أحمد بن إدريس الصنهاجي القرافي	0684
محمد بن علي بن عطية الحارثي المشهور بأبي طالب المكي	0286
ابن الأثير الجزري	0630
أبو حيان علي بن محمد بن العباس التوحيدي	0414
محمود شكري الآلوسي	1342
خير الدين الزركلي	1410
خالد بن عيسى بن أحمد بن إبراهيم بن أبي خالد البلوي، أبو البقاء (المتوفى: بعد 767هـ)	NOTGIVEN
البهوتي	1051
أحمد بن عمر بن سالم بن أحمد بن عبود أبو عمر بازمول السلفي المكي الرحابي	NOTGIVEN
محمد بن إبراهيم بن محمد بن أبي بكر الأنصاري الخزرجي الدمشقي شمس الدين أبو عبد الله المعروف بالبياني، ابن إمام الصخرة (المتوفى: 766هـ)	0766
المحقق الحلي	0676
علي بن محمد البزدوي الحنفيى	0382
محمد بن عبد الله بن أبي بكر الحثيثي الصردفي الريمي، جمال الدين (المتوفى: 792هـ)	0792
أبو بكر أحمد بن إبراهيم بن إسماعيل بن العباس بن مرداس الإسماعيلي الجرجاني (المتوفى: 371هـ)	0371
بيبى بنت عبد الصمد ابن علي بن محمد، أم الفضل الهرثمية الهروية (المتوفى: 477هـ)	0477
أبو بكر عبد الله بن محمد بن عبيد البغدادي (ابن أبي الدنيا)	0281
الشيخ علي الكوراني العاملي	1450
العلامة أبي الفضل شهاب الدين السيد محمود الألوسي البغدادي	1270
لسان الدين بن الخطيب	0776
الشيخ نظام وجماعة من علماء الهند	9999
جمال الدين عبد الرحمن بن علي بن محمد الجوزي (المتوفى : 597هـ)	0597
أبو الحسن علي بن عمر بن أحمد بن مهدي بن مسعود بن النعمان بن دينار البغدادي الدارقطني (المتوفى: 385هـ)	0385
شمس الدين أبو عبد الله محمد بن أحمد بن عثمان بن قايماز الذهبي (المتوفى: 748هـ)	0748
عبد الله بن محمد بن جعفر بن حيان الأصبهاني	0369
سعد الله بن نصر بن سعيد الحنبلي المعروف بابن الدجاجي (المتوفى: 564هـ)	0564
أبو بكر أحمد بن موسى بن العباس بن مجاهد البغدادي	0324
عبد الله بن المبارك بن واضح المرزوي أبو عبد الله	0181
محمد بن أحمد بن جزي الكلبي الغرناطي	0741
يوسف بن القاسم بن يوسف بن فارس بن سوار، أبو بكر الميانجي (المتوفى: 375هـ)	0375
شهاب الدين أحمد بن يوسف بن على بن يوسف اللبلي أبو جعفر الفهرى المقرى اللغوى المالكى (المتوفى: 691هـ)	0691
النمري، الحافظ يوسف بن البر	NOTGIVEN
شهدة بنت أحمد بن الفرج بن عمر الإبري فخر النساء بنت أبي نصر الدينوري الأصل البغدادي الكاتبة (المتوفى: 574هـ)	0574
أبو عثمان فيصل بن قزار الجاسم	NOTGIVEN
أبو البركات عبد الله بن أحمد بن محمود حافظ الدين النسفي (المتوفى: 710هـ)	0710
المنهاجي الأسيوطي	ق 9
تقي الدين محمد بن فهد المكي	0871
محمد بن محمد حسن شراب	NOTGIVEN
شمس الدين أبو الخير محمد بن عبد الرحمن السخاوي (المتوفى : 902هـ)	0902
أبو خيثمة زهير بن حرب النسائي (المتوفى: 234هـ)	0234
الإمام احمد بن حنبل	0241
علاء الدين مغلطاي	0762
المرداوي	0885
